"nodes","hitType"
"30995994_Multivariate genome-wide association study of rapid automatised naming and rapid alternating stimulus in Hispanic American and African-American youth._Rapid automised naming of letters",2
"28763065_Genome-wide association analysis identifies common variants influencing infant brain volumes._Brain volume in infants (white matter)",2
"30741946_Genome-wide association scan identifies new variants associated with a cognitive predictor of dyslexia._Word spelling",2
"27114598_Clinical and Genetic Risk Factors for Acute Pancreatitis in Patients With Acute Lymphoblastic Leukemia._Asparaginase-induced acute pancreatitis in acute lymphoblastic leukemia (onset time)",2
"28049566_An Analysis of Two Genome-wide Association Meta-analyses Identifies a New Locus for Broad Depression Phenotype._Depressive symptom measurement or major depressive disorder",2
"27560520_Genome-Wide Association Study Reveals Multiple Loci Influencing Normal Human Facial Morphology._Lip morphology",2
"29095316_Genome-wide association study for genetic variants related with maximal voluntary ventilation reveals two novel genomic signals associated with lung function._Lung function (maximal voluntary ventilation)",2
"28753643_Pharmacogenetic meta-analysis of baseline risk factors, pharmacodynamic, efficacy and tolerability endpoints from two large global cardiovascular outcomes trials for darapladib._Major coronary event in placebo-treated cardiovascular disease (time to event)",2
"24277619_ALDH2 is associated to alcohol dependence and is the major genetic determinant of ""daily maximum drinks"" in a GWAS study of an isolated rural Chinese sample._Alcohol dependence",2
"21971053_Genome-wide association study of coronary artery disease in the Japanese._Coronary heart disease",2
"21372407_Confirmation of ALDH2 as a Major locus of drinking behavior and of its variants regulating multiple metabolic phenotypes in a Japanese population._Drinking behavior",2
"24277619_ALDH2 is associated to alcohol dependence and is the major genetic determinant of ""daily maximum drinks"" in a GWAS study of an isolated rural Chinese sample._Response to alcohol consumption (flushing response)",2
"27899376_GWAS of clinically defined gout and subtypes identifies multiple susceptibility loci that include urate transporter genes._Renal overload gout",2
"26068415_Genome-wide association study identifies novel genetic variants contributing to variation in blood metabolite levels._Glycerophospholipid levels",2
"25967671_Genome-wide association analysis identifies three new risk loci for gout arthritis in Han Chinese._Gout",2
"26902266_Genome wide association study of uric acid in Indian population and interaction of identified variants with Type 2 diabetes._Serum uric acid levels",2
"22229870_Genome-wide association of serum uric acid concentration: replication of sequence variants in an island population of the Adriatic coast of Croatia._Uric acid levels",2
"30514930_Genetic data and cognitively defined late-onset Alzheimer's disease subgroups._Alzheimer's disease with language domain impairment",2
"29500382_Item-level analyses reveal genetic heterogeneity in neuroticism._Feeling lonely",2
